timestamp,open,high,low,close,volume
2025-10-06 20:05:07.453349,1568.5804272631199,1569.7833762145285,1563.3124880768175,1568.5804272631199,298
2025-10-06 21:05:07.453349,1568.5804272631199,1570.7181892022418,1506.8156416828192,1513.477169410423,39
2025-10-06 22:05:07.453349,1513.477169410423,1519.4461510411968,1484.2580309283987,1484.6860554814832,410
2025-10-06 23:05:07.453349,1484.6860554814832,1498.8487611434514,1481.8064618143637,1496.0499001739518,443
2025-10-07 00:05:07.453349,1496.0499001739518,1530.43239914185,1493.041008886251,1526.158676647328,430
2025-10-07 01:05:07.453349,1526.158676647328,1539.7582009662535,1519.680990077636,1533.637329934572,582
2025-10-07 02:05:07.453349,1533.637329934572,1577.1301207294323,1531.1956527255627,1569.7332370261747,343
2025-10-07 03:05:07.453349,1569.7332370261747,1621.8624521848492,1564.9892995884295,1614.0211413912582,782
2025-10-07 04:05:07.453349,1614.0211413912582,1635.409751334212,1612.5026200670466,1633.3157235610731,751
2025-10-07 05:05:07.453349,1633.3157235610731,1655.8229436929882,1633.286744649984,1649.9912007022663,376
2025-10-07 06:05:07.453349,1649.9912007022663,1689.9482585247415,1642.7135452707566,1687.1989642982758,793
2025-10-07 07:05:07.453349,1687.1989642982758,1695.640208359941,1684.1153231730768,1693.6885522153489,602
2025-10-07 08:05:07.453349,1693.6885522153489,1709.9052508278426,1685.4781726609885,1708.1890987455133,436
2025-10-07 09:05:07.453349,1708.1890987455133,1709.8792551845208,1655.2221997131298,1658.237486915559,580
2025-10-07 10:05:07.453349,1658.237486915559,1669.409254984526,1650.7381224174048,1668.0961998339321,111
2025-10-07 11:05:07.453349,1668.0961998339321,1677.1349729326084,1667.4390400517325,1676.7532870788007,839
2025-10-07 12:05:07.453349,1676.7532870788007,1682.3888571139853,1644.5545535895199,1645.5995876391507,813
2025-10-07 13:05:07.453349,1645.5995876391507,1649.107258731623,1585.5704600243037,1593.3709602904605,200
2025-10-07 14:05:07.453349,1593.3709602904605,1597.4351497377604,1547.9584996612298,1554.760426480548,274
2025-10-07 15:05:07.453349,1554.760426480548,1589.3915315914976,1548.2848529274825,1582.999707661943,814
2025-10-07 16:05:07.453349,1582.999707661943,1584.1412572951142,1558.4305139227454,1560.5787359237024,984
2025-10-07 17:05:07.453349,1560.5787359237024,1567.9582266534271,1534.382913299945,1536.1607291576984,983
2025-10-07 18:05:07.453349,1536.1607291576984,1540.9115719570345,1512.0562385456028,1518.5879803728535,313
2025-10-07 19:05:07.453349,1518.5879803728535,1520.5423570669611,1486.815074002723,1492.5751011030527,612
2025-10-07 20:05:07.453349,1492.5751011030527,1495.3876596832054,1474.1744499990266,1474.5079153853903,239
2025-10-07 21:05:07.453349,1474.5079153853903,1480.2287206348658,1467.769643417899,1467.8532389464224,515
2025-10-07 22:05:07.453349,1467.8532389464224,1473.687373628164,1453.2447825025824,1459.988703765691,456
2025-10-07 23:05:07.453349,1459.988703765691,1462.1921090297058,1417.773091365031,1421.7754137416848,843
2025-10-08 00:05:07.453349,1421.7754137416848,1514.6792718549495,1420.7094581695505,1513.7894077948536,753
2025-10-08 01:05:07.453349,1513.7894077948536,1519.8958808975287,1494.6667491803034,1497.73369663214,492
